@relation javax_xml_transform

@attribute callerFile string
@attribute callerPackage string
@attribute fqCaller string
@attribute fqCalls string

@data
'jenkinsci_____jenkins_____IconTest','lib.layout','lib.layout.IconTest.toString(com.gargoylesoftware.htmlunit.html.HtmlElement)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform'
'apache_____jmeter_____XPathFileContainer','org.apache.jmeter.functions','org.apache.jmeter.functions.XPathFileContainer.load(java.lang.String)','javax.xml.transform.TransformerException | org.xml.sax.SAXException | javax.xml.parsers.ParserConfigurationException | java.io.IOException.toString'
'hibernate_____hibernate-orm_____LocalXsdResolver','org.hibernate.boot.xsd','org.hibernate.boot.xsd.LocalXsdResolver.resolveLocalXsdSchema(java.lang.String)','javax.xml.transform.stream.StreamSource.<init>'
'jenkinsci_____jenkins_____RunMapTest','hudson.model','hudson.model.RunMapTest.reloadWhileBuildIsInProgress()','javax.xml.transform.stream.StreamSource.<init>'
'hibernate_____hibernate-orm_____JaxbCfgProcessor','org.hibernate.boot.cfgxml.internal','org.hibernate.boot.cfgxml.internal.JaxbCfgProcessor.resolveLocalSchema(java.lang.String,java.lang.String)','javax.xml.transform.stream.StreamSource.<init>'
'hibernate_____hibernate-orm_____PersistenceXmlParser','org.hibernate.jpa.boot.internal','org.hibernate.jpa.boot.internal.PersistenceXmlParser.validate(org.w3c.dom.Document)','javax.xml.transform.dom.DOMSource.<init>'
'apereo_____cas_____DefaultRelyingPartyTokenProducer','org.apereo.cas.ws.idp.services','org.apereo.cas.ws.idp.services.DefaultRelyingPartyTokenProducer.serializeRelyingPartyToken(org.w3c.dom.Element)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init>'
'apache_____jmeter_____XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.getNodeContent(org.w3c.dom.Node)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform javax.xml.transform.TransformerException.getMessageAndLocation'
'apache_____jmeter_____XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.putValuesForXPathInListUsingSaxon(java.lang.String,java.lang.String,java.util.List<java.lang.String>,boolean,int,java.lang.String)','javax.xml.transform.sax.SAXSource.<init>'
'apache_____jmeter_____XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.computeAssertionResult(org.apache.jmeter.assertions.AssertionResult,org.w3c.dom.Document,java.lang.String,boolean)','javax.xml.transform.TransformerException.getMessage'
